IQ,15 SD Percentile,Rarity: 1/X,16 SD Percentile,Rarity: 1/X
103.00,57.925968716700000%,2.38,57.436567549500000%,2.35
102.00,55.303515008400000%,2.24,54.973826515500000%,2.22
101.00,52.657653446600000%,2.11,52.491773919200000%,2.10
100.00,49.999999978200000%,2.00,49.999999978200000%,2.00
99.00,47.342346553400000%,1.90,47.508226080800000%,1.91
98.00,44.696484991600000%,1.81,45.026173484500000%,1.82
97.00,42.074031283300000%,1.73,42.563432450500000%,1.74
96.00,39.486296856800000%,1.65,40.129372622100000%,1.67
95.00,36.944140420600000%,1.59,37.733034680000000%,1.61
94.00,34.457830341300000%,1.53,35.383028775600000%,1.55
93.00,32.036920292600000%,1.47,33.087441546200000%,1.49
92.00,29.690140502300000%,1.42,30.853753263600000%,1.45
91.00,27.425306493900000%,1.38,28.688766425500000%,1.40
90.00,25.249246734000000%,1.34,26.598546815100000%,1.36
89.00,23.167750080400000%,1.30,24.588377755700000%,1.33
88.00,21.185533393800000%,1.27,22.662727973000000%,1.29
87.00,19.306229154200000%,1.24,20.825233157500000%,1.26
86.00,17.532392415200000%,1.21,19.078691013200000%,1.24
85.00,15.865525975900000%,1.19,17.425069283300000%,1.21
84.00,14.306122237000000%,1.17,15.865525975900000%,1.19
83.00,12.853719871100000%,1.15,14.400440778000000%,1.17
82.00,11.506973171800000%,1.13,13.029456446400000%,1.15
81.00,10.263731756400000%,1.11,11.751528810600000%,1.13
80.00,9.121128197400000%,1.10,10.564983908600000%,1.12
79.00,8.075671125600000%,1.09,9.467580714200000%,1.10
78.00,7.123341401700000%,1.08,8.456577891000000%,1.09
77.00,6.259689065200000%,1.07,7.528803028500000%,1.08
76.00,5.479928945400000%,1.06,6.680722879300000%,1.07
75.00,4.779033041000000%,1.05,5.908513205100000%,1.06
74.00,4.151818029400000%,1.04,5.208126966300000%,1.05
73.00,3.593026551400000%,1.04,4.575359733000000%,1.05
72.00,3.097401206600000%,1.03,4.005911356700000%,1.04
71.00,2.659750492800000%,1.03,3.495443115100000%,1.04
70.00,2.275006203600000%,1.02,3.039629718800000%,1.03
69.00,1.938272070800000%,1.02,2.634205741100000%,1.03
68.00,1.644863678400000%,1.02,2.275006203600000%,1.02
67.00,1.390339890800000%,1.01,1.958001205800000%,1.02
66.00,1.170526218100000%,1.01,1.679324630600000%,1.02
65.00,0.981530685400000%,1.01,1.435297084900000%,1.01
64.00,0.819752886900000%,1.01,1.222443341300000%,1.01
63.00,0.681886978200000%,1.01,1.037504636800000%,1.01
62.00,0.564919404200000%,1.01,0.877446250000000%,1.01
61.00,0.466122178300000%,1.00,0.739460831200000%,1.01
60.00,0.383042512500000%,1.00,0.620967985900000%,1.01
59.00,0.313489570600000%,1.00,0.519610631000000%,1.01
58.00,0.255519064200000%,1.00,0.433248638300000%,1.00
57.00,0.207416351700000%,1.00,0.359950266200000%,1.00
56.00,0.167678628800000%,1.00,0.297981858800000%,1.00
55.00,0.134996722300000%,1.00,0.245796254700000%,1.00
54.00,0.108236923600000%,1.00,0.202020311000000%,1.00
53.00,0.086423219800000%,1.00,0.165441904100000%,1.00
52.00,0.068720208100000%,1.00,0.134996722300000%,1.00
51.00,0.054416912000000%,1.00,0.109755120100000%,1.00
50.00,0.042911653400000%,1.00,0.088909257300000%,1.00
49.00,0.033698082300000%,1.00,0.071760703700000%,1.00
48.00,0.026352419300000%,1.00,0.057708649400000%,1.00
47.00,0.020521923900000%,1.00,0.046238821400000%,1.00
46.00,0.015914571400000%,1.00,0.036913178400000%,1.00
45.00,0.012289897100000%,1.00,0.029360421200000%,1.00
44.00,0.009450944500000%,1.00,0.023267337400000%,1.00
43.00,0.007237243400000%,1.00,0.018370973000000%,1.00
42.00,0.005518735600000%,1.00,0.014451611700000%,1.00
41.00,0.004190558900000%,1.00,0.011326526300000%,1.00
40.00,0.003168603500000%,1.00,0.008844459000000%,1.00
39.00,0.002385751000000%,1.00,0.006880780800000%,1.00
38.00,0.001788715900000%,1.00,0.005333275000000%,1.00
37.00,0.001335409700000%,1.00,0.004118490100000%,1.00
36.00,0.000992756000000%,1.00,0.003168603500000%,1.00
35.00,0.000734891700000%,1.00,0.002428743700000%,1.00
34.00,0.000541695300000%,1.00,0.001854716700000%,1.00
33.00,0.000397590300000%,1.00,0.001411087100000%,1.00
32.00,0.000290578700000%,1.00,0.001069568600000%,1.00
31.00,0.000211464300000%,1.00,0.000807682000000%,1.00
30.00,0.000153233700000%,1.00,0.000607641600000%,1.00
29.00,0.000110564000000%,1.00,0.000455437100000%,1.00
28.00,0.000079435300000%,1.00,0.000340080300000%,1.00
27.00,0.000056826700000%,1.00,0.000252991200000%,1.00
26.00,0.000040478900000%,1.00,0.000187498900000%,1.00
25.00,0.000028710500000%,1.00,0.000138439500000%,1.00
24.00,0.000020276300000%,1.00,0.000101832800000%,1.00
23.00,0.000014258300000%,1.00,0.000074624500000%,1.00
22.00,0.000009983400000%,1.00,0.000054480200000%,1.00
21.00,0.000006960200000%,1.00,0.000039624000000%,1.00
20.00,0.000004831700000%,1.00,0.000028710500000%,1.00
19.00,0.000003339600000%,1.00,0.000020724500000%,1.00
18.00,0.000002298400000%,1.00,0.000014903400000%,1.00
17.00,0.000001575000000%,1.00,0.000010676900000%,1.00
16.00,0.000001074600000%,1.00,0.000007620100000%,1.00
15.00,0.000000730100000%,1.00,0.000005418000000%,1.00
14.00,0.000000493800000%,1.00,0.000003837600000%,1.00
13.00,0.000000332600000%,1.00,0.000002708000000%,1.00
12.00,0.000000223000000%,1.00,0.000001903600000%,1.00
11.00,0.000000148900000%,1.00,0.000001333100000%,1.00
10.00,0.000000099000000%,1.00,0.000000930100000%,1.00
9.00,0.000000065500000%,1.00,0.000000646400000%,1.00
8.00,0.000000043200000%,1.00,0.000000447600000%,1.00
7.00,0.000000028300000%,1.00,0.000000308700000%,1.00
6.00,0.000000018500000%,1.00,0.000000212100000%,1.00
5.00,0.000000012000000%,1.00,0.000000145200000%,1.00
4.00,0.000000007800000%,1.00,0.000000099000000%,1.00
3.00,0.000000005000000%,1.00,0.000000067300000%,1.00
2.00,0.000000003200000%,1.00,0.000000045500000%,1.00
1.00,0.000000002100000%,1.00,0.000000030700000%,1.00
